,route_short_name,stop_id
386314,59,19657
386315,59,19658
386316,59,19659
386317,59,19660
386318,59,19661
386319,59,19662
386320,59,19663
386321,59,19664
386322,59,19665
386323,59,19666
386324,59,19667
386325,59,20774
386326,59,19669
386327,59,19670
386328,59,19671
386329,59,19672
386330,59,19673
386331,59,19674
386332,59,19675
469810,78,18622
469811,78,18621
469812,78,18618
469813,78,18617
469814,78,18616
469815,78,18615
469816,78,18614
469817,78,18613
469818,78,18612
469819,78,18611
469820,78,18610
469821,78,18609
469822,78,18608
469823,78,18607
469824,78,18606
469825,78,18605
469826,78,18603
469827,78,18602
469828,78,18601
469829,78,18599
469830,78,18598
469831,78,18597
469832,78,18596
469833,78,18595
469834,78,18594
469835,78,18593
469836,78,18592
469837,78,18591
470343,78,19087
470344,78,19088
470345,78,19089
470346,78,19090
470347,78,19091
470348,78,19092
470349,78,19093
470350,78,19094
470351,78,19095
470352,78,19096
470353,78,19097
470354,78,19098
470355,78,19100
470356,78,19101
470357,78,19102
470358,78,19103
470359,78,19104
470360,78,19105
470361,78,19106
470362,78,19107
470363,78,19108
470364,78,19109
470365,78,19110
470366,78,19111
470367,78,19112
470368,78,19113
470369,78,19116
502870,35,18038
502871,35,18039
502872,35,18052
502873,35,18053
502874,35,18054
502875,35,18055
502876,35,18056
502877,35,21231
502878,35,21234
502879,35,18087
502880,35,18089
502881,35,18090
502882,35,18091
502883,35,18092
502884,35,20979
502885,35,17892
502886,35,18010
502887,35,18011
502888,35,18030
502889,35,18031
502890,35,18032
502891,35,18033
502892,35,18035
502893,35,20981
502894,35,18183
502895,35,18037
503008,35,18040
503009,35,18041
503010,35,18042
503011,35,18043
503012,35,18044
503013,35,18045
503014,35,18046
503015,35,18047
503016,35,18048
503017,35,18049
503018,35,18050
503019,35,17880
503021,35,18105
503022,35,18174
503023,35,18175
503024,35,18176
503025,35,18178
503026,35,21233
503027,35,21232
503028,35,18179
503029,35,18180
503030,35,18181
503031,35,18182
512670,30,18052
512671,30,18040
512672,30,18041
512673,30,18042
512674,30,18043
512675,30,18044
512676,30,18045
512677,30,18046
512678,30,18047
512679,30,18048
512680,30,18049
512681,30,18050
512682,30,18051
512683,30,17895
512684,30,18009
512685,30,18010
512686,30,18011
512687,30,18030
512688,30,18031
512689,30,18032
512690,30,18033
512691,30,18035
512692,30,20981
